Faculty Name,Acronym
Abhishek Gupta,AG1
Abhishek Jindal,AJ
Abhishek Kantilal Tilva,AKT
Aditya Tatu,AT
Amishal Modi,AM
Amit Mankodi,AMK
Anirban Dutta Gupta,ADG
Anish Mathuria,AMM
Ankush Chander,AC
Anupam Rana,AR3
Arnab Kumar Ray,AR
Arpit Rana,AR2
Arpita Mal,AM2
Bharani Kollipara,BK
Bhaskar Chaudhury,BC
Biswajit Mishra,BM
Cyril Jos,CJ
Gangeya Mukherji,GM
Gautam Dutta,GD
Gopinath Panda,GP
Hemant Patil,HP
H S Jattana,HSJ
Jenson Joseph,JJ
J Lalchandani,JL
Kalyan Sasidhar,PKS
K C Supekar,KCS
Madhu Kant Sharma,MS
Madhumita Mazumdar,MM
Manish Chaturvedi,MC
Maniklal Das,MLD
Manish Kumar,MK2
Manjunath Joshi,MVJ
Manoj Raut,MKR
Minal Bhise,MB
Mukesh Tiwari,MT
Nabin Kumar Sahu,NKS
Nandini Banerjee,NB
Pankaj Kumar,PK
PM Jat,PMJ
Prosenjit Kundu,PK2
Pratim Roy,PR
Pritam Anand,PA
Puneet Bhateja,PB
Purbasha Das,PD
Pushpendra Kumar,PK3
Rachit Chhaya,RC
Rahul Muthu,RM
Rajib Locan Das,RLD
Rutu Parikh,RP
Sanjay Srivastava,SS
Satvik Gupta,SG
Saurabh Tiwari,ST
Shefali Jha,SJ
Shruti Bhilare,SB
Sourish Dasgupta,SDG
Sreeja Rajendran,SR
Srimanta Mandal,SM
Sudip Bera,SB2
Sujay Kadam,SK
Sunitha Vadivel Murugan,VS
Supantha Pandit,SP
Tapas Kumar Maiti,TKM
Tathagata Bandyopadhyay,TB
Vinay Shrinivas,VSP
Vishvajit Pandya,VP
Yash Agrawal,YA
Yash Vasavada,YV
